id,datasetKey,species,x,y,accuracy,year,institution,source
4093506204,410461b6-368c-4970-8cb5-c043c28c08dd,Pseudacris crucifer,-88.405556,35.228889,1138,2005,APSU,gbif
4093505999,410461b6-368c-4970-8cb5-c043c28c08dd,Pseudacris crucifer,-86.772222,35.365833,684,2012,APSU,gbif
4093505867,410461b6-368c-4970-8cb5-c043c28c08dd,Pseudacris crucifer,-87.701944,36.595278,571,1992,APSU,gbif
4093505821,410461b6-368c-4970-8cb5-c043c28c08dd,Pseudacris crucifer,-88.628333,35.355278,1137,2005,APSU,gbif
4093505669,410461b6-368c-4970-8cb5-c043c28c08dd,Pseudacris crucifer,-87.284722,36.402778,1056,1981,APSU,gbif
4093505580,410461b6-368c-4970-8cb5-c043c28c08dd,Pseudacris crucifer,-82.615833,36.130833,138,2011,APSU,gbif
4093505347,410461b6-368c-4970-8cb5-c043c28c08dd,Pseudacris crucifer,-88.077222,35.876389,299,2006,APSU,gbif
4093504910,410461b6-368c-4970-8cb5-c043c28c08dd,Pseudacris crucifer,-86.908889,36.360278,1640,2006,APSU,gbif
4093504882,410461b6-368c-4970-8cb5-c043c28c08dd,Pseudacris crucifer,-87.476389,35.419427,20,2006,APSU,gbif
4093504803,410461b6-368c-4970-8cb5-c043c28c08dd,Pseudacris crucifer,-87.281944,36.403333,46,1993,APSU,gbif
4093504631,410461b6-368c-4970-8cb5-c043c28c08dd,Pseudacris crucifer,-87.549722,35.494722,4790,2006,APSU,gbif
